timestamp,total_i_mA,batt_mV,core_temp_C,safety,ch1_name,ch1_status,ch1_state,ch1_voltage_mV,ch1_i_inst_mA,ch1_i_avg_mA,ch2_name,ch2_status,ch2_state,ch2_voltage_mV,ch2_i_inst_mA,ch2_i_avg_mA,ch3_name,ch3_status,ch3_state,ch3_voltage_mV,ch3_i_inst_mA,ch3_i_avg_mA,ch4_name,ch4_status,ch4_state,ch4_voltage_mV,ch4_i_inst_mA,ch4_i_avg_mA,ch5_name,ch5_status,ch5_state,ch5_voltage_mV,ch5_i_inst_mA,ch5_i_avg_mA,ch6_name,ch6_status,ch6_state,ch6_voltage_mV,ch6_i_inst_mA,ch6_i_avg_mA,ch7_name,ch7_status,ch7_state,ch7_voltage_mV,ch7_i_inst_mA,ch7_i_avg_mA,ch8_name,ch8_status,ch8_state,ch8_voltage_mV,ch8_i_inst_mA,ch8_i_avg_mA,ch9_name,ch9_status,ch9_state,ch9_voltage_mV,ch9_i_inst_mA,ch9_i_avg_mA,ch10_name,ch10_status,ch10_state,ch10_voltage_mV,ch10_i_inst_mA,ch10_i_avg_mA,ch11_name,ch11_status,ch11_state,ch11_voltage_mV,ch11_i_inst_mA,ch11_i_avg_mA,ch12_name,ch12_status,ch12_state,ch12_voltage_mV,ch12_i_inst_mA,ch12_i_avg_mA,ch13_name,ch13_status,ch13_state,ch13_voltage_mV,ch13_i_inst_mA,ch13_i_avg_mA,ch14_name,ch14_status,ch14_state,ch14_voltage_mV,ch14_i_inst_mA,ch14_i_avg_mA,ch15_name,ch15_status,ch15_state,ch15_voltage_mV,ch15_i_inst_mA,ch15_i_avg_mA,ch16_name,ch16_status,ch16_state,ch16_voltage_mV,ch16_i_inst_mA,ch16_i_avg_mA
1778949383.1802757,0.0,12800,-51.0,0,-,0,0,0,0,0.0,-,0,0,0,0,0.0,ECU,1,1,12756,0,0.0,FAN1,0,0,0,0,0.0,COILS,8,1,0,0,0.0,PUMP,0,0,0,0,0.0,INJECTOR,8,1,65,0,0.0,SERVO,1,1,12777,0,0.0,ADD 1,0,1,12739,0,0.0,ADD 2,0,1,12805,0,0.0,ADD 3,0,1,12805,0,0.0,ADD 4,0,1,12766,0,0.0,ADD 5,0,0,0,0,0.0,ADD 6,0,1,12777,0,0.0,ADD 7,0,0,0,0,0.0,EGT2CAN,0,1,12772,0,0.0
1778949383.2315145,0.0,12800,-51.0,0,-,0,0,0,0,0.0,-,0,0,0,0,0.0,ECU,1,1,12739,0,0.0,FAN1,0,0,0,0,0.0,COILS,8,1,0,0,0.0,PUMP,0,0,0,0,0.0,INJECTOR,8,1,65,0,0.0,SERVO,1,1,12766,0,0.0,ADD 1,0,1,12739,0,0.0,ADD 2,0,1,12805,0,0.0,ADD 3,0,1,12805,0,0.0,ADD 4,0,1,12766,0,0.0,ADD 5,0,0,0,0,0.0,ADD 6,0,1,12777,0,0.0,ADD 7,0,0,0,0,0.0,EGT2CAN,0,1,12772,0,0.0
1778949383.282485,0.0,12751,-52.0,0,-,0,0,0,0,0.0,-,0,0,0,0,0.0,ECU,1,1,12739,0,0.0,FAN1,0,0,0,0,0.0,COILS,8,1,0,0,0.0,PUMP,0,0,0,0,0.0,INJECTOR,8,1,65,0,0.0,SERVO,1,1,12766,0,0.0,ADD 1,0,1,12761,0,0.0,ADD 2,0,1,12739,0,0.0,ADD 3,0,1,12777,0,0.0,ADD 4,0,1,12756,0,0.0,ADD 5,0,0,0,0,0.0,ADD 6,0,1,12788,0,0.0,ADD 7,0,0,0,0,0.0,EGT2CAN,0,1,12717,0,0.0
1778949383.355792,0.0,12807,-52.0,0,-,0,0,0,0,0.0,-,0,0,0,0,0.0,ECU,1,1,12766,0,0.0,FAN1,0,0,0,0,0.0,COILS,8,1,0,0,0.0,PUMP,0,0,0,0,0.0,INJECTOR,8,1,65,0,0.0,SERVO,1,1,12728,0,0.0,ADD 1,0,1,12761,0,0.0,ADD 2,0,1,12783,0,0.0,ADD 3,0,1,12756,0,0.0,ADD 4,0,1,12728,0,0.0,ADD 5,0,0,0,0,0.0,ADD 6,0,1,12810,0,0.0,ADD 7,0,0,0,0,0.0,EGT2CAN,0,1,12761,0,0.0
1778949383.4071567,0.0,12807,-52.0,0,-,0,0,0,0,0.0,-,0,0,0,0,0.0,ECU,1,1,12717,0,0.0,FAN1,0,0,0,0,0.0,COILS,8,1,0,0,0.0,PUMP,0,0,0,0,0.0,INJECTOR,8,1,65,0,0.0,SERVO,1,1,12723,0,0.0,ADD 1,0,1,12788,0,0.0,ADD 2,0,1,12777,0,0.0,ADD 3,0,1,12794,0,0.0,ADD 4,0,1,12756,0,0.0,ADD 5,0,0,0,0,0.0,ADD 6,0,1,12810,0,0.0,ADD 7,0,0,0,0,0.0,EGT2CAN,0,1,12761,0,0.0
1778949383.4574423,0.0,12776,-52.0,0,-,0,0,0,0,0.0,-,0,0,0,0,0.0,ECU,1,1,12712,0,0.0,FAN1,0,0,0,0,0.0,COILS,8,1,0,0,0.0,PUMP,0,0,0,0,0.0,INJECTOR,8,1,76,0,0.0,SERVO,1,1,12701,0,0.0,ADD 1,0,1,12766,0,0.0,ADD 2,0,1,12810,0,0.0,ADD 3,0,1,12788,0,0.0,ADD 4,0,1,12766,0,0.0,ADD 5,0,0,0,0,0.0,ADD 6,0,1,12810,0,0.0,ADD 7,0,0,0,0,0.0,EGT2CAN,0,1,12739,0,0.0
1778949383.5104427,0.0,12776,-52.0,0,-,0,0,0,0,0.0,-,0,0,0,0,0.0,ECU,1,1,12712,0,0.0,FAN1,0,0,0,0,0.0,COILS,8,1,0,0,0.0,PUMP,0,0,0,0,0.0,INJECTOR,8,1,76,0,0.0,SERVO,1,1,12701,0,0.0,ADD 1,0,1,12766,0,0.0,ADD 2,0,1,12810,0,0.0,ADD 3,0,1,12788,0,0.0,ADD 4,0,1,12766,0,0.0,ADD 5,0,0,0,0,0.0,ADD 6,0,1,12810,0,0.0,ADD 7,0,0,0,0,0.0,EGT2CAN,0,1,12739,0,0.0
1778949383.5616653,0.0,12776,-52.0,0,-,0,0,0,0,0.0,-,0,0,0,0,0.0,ECU,1,1,12777,0,0.0,FAN1,0,0,0,0,0.0,COILS,8,1,0,0,0.0,PUMP,0,0,0,0,0.0,INJECTOR,8,1,71,0,0.0,SERVO,1,1,12783,0,0.0,ADD 1,0,1,12788,0,0.0,ADD 2,0,1,12777,0,0.0,ADD 3,0,1,12794,0,0.0,ADD 4,0,1,12756,0,0.0,ADD 5,0,0,0,0,0.0,ADD 6,0,1,12756,0,0.0,ADD 7,0,0,0,0,0.0,EGT2CAN,0,1,12772,0,0.0
1778949383.6188605,0.0,12788,-51.0,0,-,0,0,0,0,0.0,-,0,0,0,0,0.0,ECU,1,1,12783,0,0.0,FAN1,0,0,0,0,0.0,COILS,8,1,0,0,0.0,PUMP,0,0,0,0,0.0,INJECTOR,8,1,65,0,0.0,SERVO,1,1,12783,0,0.0,ADD 1,0,1,12777,0,0.0,ADD 2,0,1,12777,0,0.0,ADD 3,0,1,12756,0,0.0,ADD 4,0,1,12739,0,0.0,ADD 5,0,0,0,0,0.0,ADD 6,0,1,12777,0,0.0,ADD 7,0,0,0,0,0.0,EGT2CAN,0,1,12750,0,0.0
1778949383.6774266,0.0,12788,-51.0,0,-,0,0,0,0,0.0,-,0,0,0,0,0.0,ECU,1,1,12794,0,0.0,FAN1,0,0,0,0,0.0,COILS,8,1,0,0,0.0,PUMP,0,0,0,0,0.0,INJECTOR,8,1,65,0,0.0,SERVO,1,1,12783,0,0.0,ADD 1,0,1,12777,0,0.0,ADD 2,0,1,12777,0,0.0,ADD 3,0,1,12756,0,0.0,ADD 4,0,1,12739,0,0.0,ADD 5,0,0,0,0,0.0,ADD 6,0,1,12777,0,0.0,ADD 7,0,0,0,0,0.0,EGT2CAN,0,1,12750,0,0.0
1778949383.7284043,0.0,12763,-52.0,0,-,0,0,0,0,0.0,-,0,0,0,0,0.0,ECU,1,1,12761,0,0.0,FAN1,0,0,0,0,0.0,COILS,8,1,0,0,0.0,PUMP,0,0,0,0,0.0,INJECTOR,8,1,65,0,0.0,SERVO,1,1,12788,0,0.0,ADD 1,0,1,12810,0,0.0,ADD 2,0,1,12827,0,0.0,ADD 3,0,1,12783,0,0.0,ADD 4,0,1,12761,0,0.0,ADD 5,0,0,0,0,0.0,ADD 6,0,1,12766,0,0.0,ADD 7,0,0,0,0,0.0,EGT2CAN,0,1,12777,0,0.0
1778949383.7844465,0.0,12757,-51.0,0,-,0,0,0,0,0.0,-,0,0,0,0,0.0,ECU,1,1,12772,0,0.0,FAN1,0,0,0,0,0.0,COILS,8,1,0,0,0.0,PUMP,0,0,0,0,0.0,INJECTOR,8,1,71,0,0.0,SERVO,1,1,12739,0,0.0,ADD 1,0,1,12805,0,0.0,ADD 2,0,1,12827,0,0.0,ADD 3,0,1,12777,0,0.0,ADD 4,0,1,12756,0,0.0,ADD 5,0,0,0,0,0.0,ADD 6,0,1,12783,0,0.0,ADD 7,0,0,0,0,0.0,EGT2CAN,0,1,12772,0,0.0
1778949383.8441288,0.0,12757,-51.0,0,-,0,0,0,0,0.0,-,0,0,0,0,0.0,ECU,1,1,12783,0,0.0,FAN1,0,0,0,0,0.0,COILS,8,1,0,0,0.0,PUMP,0,0,0,0,0.0,INJECTOR,8,1,65,0,0.0,SERVO,1,1,12728,0,0.0,ADD 1,0,1,12805,0,0.0,ADD 2,0,1,12827,0,0.0,ADD 3,0,1,12777,0,0.0,ADD 4,0,1,12756,0,0.0,ADD 5,0,0,0,0,0.0,ADD 6,0,1,12783,0,0.0,ADD 7,0,0,0,0,0.0,EGT2CAN,0,1,12772,0,0.0
1778949383.8945718,0.0,12813,-52.0,0,-,0,0,0,0,0.0,-,0,0,0,0,0.0,ECU,1,1,12745,0,0.0,FAN1,0,0,0,0,0.0,COILS,8,1,0,0,0.0,PUMP,0,0,0,0,0.0,INJECTOR,8,1,65,0,0.0,SERVO,1,1,12783,0,0.0,ADD 1,0,1,12788,0,0.0,ADD 2,0,1,12805,0,0.0,ADD 3,0,1,12766,0,0.0,ADD 4,0,1,12739,0,0.0,ADD 5,0,0,0,0,0.0,ADD 6,0,1,12805,0,0.0,ADD 7,0,0,0,0,0.0,EGT2CAN,0,1,12805,0,0.0
1778949383.945687,0.0,12794,-52.0,0,-,0,0,0,0,0.0,-,0,0,0,0,0.0,ECU,1,1,12788,0,0.0,FAN1,0,0,0,0,0.0,COILS,8,1,0,0,0.0,PUMP,0,0,0,0,0.0,INJECTOR,8,1,65,0,0.0,SERVO,1,1,12717,0,0.0,ADD 1,0,1,12783,0,0.0,ADD 2,0,1,12788,0,0.0,ADD 3,0,1,12788,0,0.0,ADD 4,0,1,12734,0,0.0,ADD 5,0,0,0,0,0.0,ADD 6,0,1,12783,0,0.0,ADD 7,0,0,0,0,0.0,EGT2CAN,0,1,12799,0,0.0
1778949383.997114,0.0,12794,-52.0,0,-,0,0,0,0,0.0,-,0,0,0,0,0.0,ECU,1,1,12739,0,0.0,FAN1,0,0,0,0,0.0,COILS,8,1,0,0,0.0,PUMP,0,0,0,0,0.0,INJECTOR,8,1,60,0,0.0,SERVO,1,1,12723,0,0.0,ADD 1,0,1,12788,0,0.0,ADD 2,0,1,12777,0,0.0,ADD 3,0,1,12756,0,0.0,ADD 4,0,1,12777,0,0.0,ADD 5,0,0,0,0,0.0,ADD 6,0,1,12788,0,0.0,ADD 7,0,0,0,0,0.0,EGT2CAN,0,1,12761,0,0.0
1778949384.0552204,0.0,12776,-51.0,0,-,0,0,0,0,0.0,-,0,0,0,0,0.0,ECU,1,1,12788,0,0.0,FAN1,0,0,0,0,0.0,COILS,8,1,0,0,0.0,PUMP,0,0,0,0,0.0,INJECTOR,8,1,65,0,0.0,SERVO,1,1,12701,0,0.0,ADD 1,0,1,12766,0,0.0,ADD 2,0,1,12766,0,0.0,ADD 3,0,1,12788,0,0.0,ADD 4,0,1,12717,0,0.0,ADD 5,0,0,0,0,0.0,ADD 6,0,1,12766,0,0.0,ADD 7,0,0,0,0,0.0,EGT2CAN,0,1,12745,0,0.0
1778949384.1183794,0.0,12769,-51.0,0,-,0,0,0,0,0.0,-,0,0,0,0,0.0,ECU,1,1,12723,0,0.0,FAN1,0,0,0,0,0.0,COILS,8,1,0,0,0.0,PUMP,0,0,0,0,0.0,INJECTOR,8,1,65,0,0.0,SERVO,1,1,12772,0,0.0,ADD 1,0,1,12788,0,0.0,ADD 2,0,1,12810,0,0.0,ADD 3,0,1,12810,0,0.0,ADD 4,0,1,12717,0,0.0,ADD 5,0,0,0,0,0.0,ADD 6,0,1,12788,0,0.0,ADD 7,0,0,0,0,0.0,EGT2CAN,0,1,12805,0,0.0
1778949384.1694028,0.0,12813,-51.0,0,-,0,0,0,0,0.0,-,0,0,0,0,0.0,ECU,1,1,12799,0,0.0,FAN1,0,0,0,0,0.0,COILS,8,1,0,0,0.0,PUMP,0,0,0,0,0.0,INJECTOR,8,1,65,0,0.0,SERVO,1,1,12783,0,0.0,ADD 1,0,1,12745,0,0.0,ADD 2,0,1,12788,0,0.0,ADD 3,0,1,12788,0,0.0,ADD 4,0,1,12766,0,0.0,ADD 5,0,0,0,0,0.0,ADD 6,0,1,12788,0,0.0,ADD 7,0,0,0,0,0.0,EGT2CAN,0,1,12756,0,0.0
1778949384.2232437,0.0,12813,-51.0,0,-,0,0,0,0,0.0,-,0,0,0,0,0.0,ECU,1,1,12799,0,0.0,FAN1,0,0,0,0,0.0,COILS,8,1,0,0,0.0,PUMP,0,0,0,0,0.0,INJECTOR,8,1,65,0,0.0,SERVO,1,1,12783,0,0.0,ADD 1,0,1,12745,0,0.0,ADD 2,0,1,12788,0,0.0,ADD 3,0,1,12788,0,0.0,ADD 4,0,1,12766,0,0.0,ADD 5,0,0,0,0,0.0,ADD 6,0,1,12788,0,0.0,ADD 7,0,0,0,0,0.0,EGT2CAN,0,1,12756,0,0.0
1778949384.274237,0.0,12813,-51.0,0,-,0,0,0,0,0.0,-,0,0,0,0,0.0,ECU,1,1,12777,0,0.0,FAN1,0,0,0,0,0.0,COILS,8,1,0,0,0.0,PUMP,0,0,0,0,0.0,INJECTOR,8,1,71,0,0.0,SERVO,1,1,12745,0,0.0,ADD 1,0,1,12761,0,0.0,ADD 2,0,1,12816,0,0.0,ADD 3,0,1,12750,0,0.0,ADD 4,0,1,12723,0,0.0,ADD 5,0,0,0,0,0.0,ADD 6,0,1,12750,0,0.0,ADD 7,0,0,0,0,0.0,EGT2CAN,0,1,12788,0,0.0
1778949384.3325765,0.0,12782,-51.0,0,-,0,0,0,0,0.0,-,0,0,0,0,0.0,ECU,1,1,12772,0,0.0,FAN1,0,0,0,0,0.0,COILS,8,1,0,0,0.0,PUMP,0,0,0,0,0.0,INJECTOR,8,1,65,0,0.0,SERVO,1,1,12777,0,0.0,ADD 1,0,1,12827,0,0.0,ADD 2,0,1,12799,0,0.0,ADD 3,0,1,12756,0,0.0,ADD 4,0,1,12734,0,0.0,ADD 5,0,0,0,0,0.0,ADD 6,0,1,12816,0,0.0,ADD 7,0,0,0,0,0.0,EGT2CAN,0,1,12810,0,0.0
1778949384.3883078,0.0,12782,-51.0,0,-,0,0,0,0,0.0,-,0,0,0,0,0.0,ECU,1,1,12772,0,0.0,FAN1,0,0,0,0,0.0,COILS,8,1,0,0,0.0,PUMP,0,0,0,0,0.0,INJECTOR,8,1,65,0,0.0,SERVO,1,1,12777,0,0.0,ADD 1,0,1,12827,0,0.0,ADD 2,0,1,12799,0,0.0,ADD 3,0,1,12756,0,0.0,ADD 4,0,1,12734,0,0.0,ADD 5,0,0,0,0,0.0,ADD 6,0,1,12816,0,0.0,ADD 7,0,0,0,0,0.0,EGT2CAN,0,1,12810,0,0.0
1778949384.4499846,0.0,12782,-51.0,0,-,0,0,0,0,0.0,-,0,0,0,0,0.0,ECU,1,1,12788,0,0.0,FAN1,0,0,0,0,0.0,COILS,8,1,0,0,0.0,PUMP,0,0,0,0,0.0,INJECTOR,8,1,65,0,0.0,SERVO,1,1,12750,0,0.0,ADD 1,0,1,12772,0,0.0,ADD 2,0,1,12827,0,0.0,ADD 3,0,1,12788,0,0.0,ADD 4,0,1,12717,0,0.0,ADD 5,0,0,0,0,0.0,ADD 6,0,1,12783,0,0.0,ADD 7,0,0,0,0,0.0,EGT2CAN,0,1,12799,0,0.0
1778949384.505371,0.0,12776,-51.0,0,-,0,0,0,0,0.0,-,0,0,0,0,0.0,ECU,1,1,12788,0,0.0,FAN1,0,0,0,0,0.0,COILS,8,1,0,0,0.0,PUMP,0,0,0,0,0.0,INJECTOR,8,1,65,0,0.0,SERVO,1,1,12734,0,0.0,ADD 1,0,1,12766,0,0.0,ADD 2,0,1,12766,0,0.0,ADD 3,0,1,12739,0,0.0,ADD 4,0,1,12706,0,0.0,ADD 5,0,0,0,0,0.0,ADD 6,0,1,12788,0,0.0,ADD 7,0,0,0,0,0.0,EGT2CAN,0,1,12772,0,0.0
1778949384.557179,0.0,12776,-51.0,0,-,0,0,0,0,0.0,-,0,0,0,0,0.0,ECU,1,1,12761,0,0.0,FAN1,0,0,0,0,0.0,COILS,8,1,0,0,0.0,PUMP,0,0,0,0,0.0,INJECTOR,8,1,60,0,0.0,SERVO,1,1,12734,0,0.0,ADD 1,0,1,12788,0,0.0,ADD 2,0,1,12810,0,0.0,ADD 3,0,1,12745,0,0.0,ADD 4,0,1,12739,0,0.0,ADD 5,0,0,0,0,0.0,ADD 6,0,1,12756,0,0.0,ADD 7,0,0,0,0,0.0,EGT2CAN,0,1,12761,0,0.0
1778949384.608224,0.0,12776,-52.0,0,-,0,0,0,0,0.0,-,0,0,0,0,0.0,ECU,1,1,12717,0,0.0,FAN1,0,0,0,0,0.0,COILS,8,1,0,0,0.0,PUMP,0,0,0,0,0.0,INJECTOR,8,1,82,0,0.0,SERVO,1,1,12734,0,0.0,ADD 1,0,1,12794,0,0.0,ADD 2,0,1,12816,0,0.0,ADD 3,0,1,12799,0,0.0,ADD 4,0,1,12766,0,0.0,ADD 5,0,0,0,0,0.0,ADD 6,0,1,12810,0,0.0,ADD 7,0,0,0,0,0.0,EGT2CAN,0,1,12756,0,0.0
1778949384.6591487,0.0,12800,-51.0,0,-,0,0,0,0,0.0,-,0,0,0,0,0.0,ECU,1,1,12788,0,0.0,FAN1,0,0,0,0,0.0,COILS,8,1,0,0,0.0,PUMP,0,0,0,0,0.0,INJECTOR,8,1,65,0,0.0,SERVO,1,1,12783,0,0.0,ADD 1,0,1,12761,0,0.0,ADD 2,0,1,12810,0,0.0,ADD 3,0,1,12788,0,0.0,ADD 4,0,1,12783,0,0.0,ADD 5,0,0,0,0,0.0,ADD 6,0,1,12805,0,0.0,ADD 7,0,0,0,0,0.0,EGT2CAN,0,1,12788,0,0.0
1778949384.7103887,0.0,12800,-51.0,0,-,0,0,0,0,0.0,-,0,0,0,0,0.0,ECU,1,1,12756,0,0.0,FAN1,0,0,0,0,0.0,COILS,8,1,0,0,0.0,PUMP,0,0,0,0,0.0,INJECTOR,8,1,65,0,0.0,SERVO,1,1,12777,0,0.0,ADD 1,0,1,12783,0,0.0,ADD 2,0,1,12756,0,0.0,ADD 3,0,1,12766,0,0.0,ADD 4,0,1,12728,0,0.0,ADD 5,0,0,0,0,0.0,ADD 6,0,1,12756,0,0.0,ADD 7,0,0,0,0,0.0,EGT2CAN,0,1,12745,0,0.0
1778949384.7617486,0.0,12813,-51.0,0,-,0,0,0,0,0.0,-,0,0,0,0,0.0,ECU,1,1,12684,0,0.0,FAN1,0,0,0,0,0.0,COILS,8,1,0,0,0.0,PUMP,0,0,0,0,0.0,INJECTOR,8,1,65,0,0.0,SERVO,1,1,12728,0,0.0,ADD 1,0,1,12756,0,0.0,ADD 2,0,1,12810,0,0.0,ADD 3,0,1,12805,0,0.0,ADD 4,0,1,12761,0,0.0,ADD 5,0,0,0,0,0.0,ADD 6,0,1,12788,0,0.0,ADD 7,0,0,0,0,0.0,EGT2CAN,0,1,12761,0,0.0
1778949384.8220067,0.0,12800,-52.0,0,-,0,0,0,0,0.0,-,0,0,0,0,0.0,ECU,1,1,12805,0,0.0,FAN1,0,0,0,0,0.0,COILS,8,1,0,0,0.0,PUMP,0,0,0,0,0.0,INJECTOR,8,1,65,0,0.0,SERVO,1,1,12739,0,0.0,ADD 1,0,1,12794,0,0.0,ADD 2,0,1,12788,0,0.0,ADD 3,0,1,12777,0,0.0,ADD 4,0,1,12766,0,0.0,ADD 5,0,0,0,0,0.0,ADD 6,0,1,12777,0,0.0,ADD 7,0,0,0,0,0.0,EGT2CAN,0,1,12750,0,0.0
1778949384.8759792,0.0,12800,-51.0,0,-,0,0,0,0,0.0,-,0,0,0,0,0.0,ECU,1,1,12799,0,0.0,FAN1,0,0,0,0,0.0,COILS,8,1,0,0,0.0,PUMP,0,0,0,0,0.0,INJECTOR,8,1,65,0,0.0,SERVO,1,1,12766,0,0.0,ADD 1,0,1,12788,0,0.0,ADD 2,0,1,12799,0,0.0,ADD 3,0,1,12794,0,0.0,ADD 4,0,1,12739,0,0.0,ADD 5,0,0,0,0,0.0,ADD 6,0,1,12788,0,0.0,ADD 7,0,0,0,0,0.0,EGT2CAN,0,1,12745,0,0.0
1778949384.9298615,0.0,12800,-51.0,0,-,0,0,0,0,0.0,-,0,0,0,0,0.0,ECU,1,1,12799,0,0.0,FAN1,0,0,0,0,0.0,COILS,8,1,0,0,0.0,PUMP,0,0,0,0,0.0,INJECTOR,8,1,65,0,0.0,SERVO,1,1,12766,0,0.0,ADD 1,0,1,12788,0,0.0,ADD 2,0,1,12799,0,0.0,ADD 3,0,1,12794,0,0.0,ADD 4,0,1,12739,0,0.0,ADD 5,0,0,0,0,0.0,ADD 6,0,1,12788,0,0.0,ADD 7,0,0,0,0,0.0,EGT2CAN,0,1,12745,0,0.0
1778949384.9807174,0.0,12800,-51.0,0,-,0,0,0,0,0.0,-,0,0,0,0,0.0,ECU,1,1,12810,0,0.0,FAN1,0,0,0,0,0.0,COILS,8,1,0,0,0.0,PUMP,0,0,0,0,0.0,INJECTOR,8,1,65,0,0.0,SERVO,1,1,12723,0,0.0,ADD 1,0,1,12706,0,0.0,ADD 2,0,1,12788,0,0.0,ADD 3,0,1,12794,0,0.0,ADD 4,0,1,12772,0,0.0,ADD 5,0,0,0,0,0.0,ADD 6,0,1,12805,0,0.0,ADD 7,0,0,0,0,0.0,EGT2CAN,0,1,12783,0,0.0
1778949385.0415156,0.0,12800,-52.0,0,-,0,0,0,0,0.0,-,0,0,0,0,0.0,ECU,1,1,12810,0,0.0,FAN1,0,0,0,0,0.0,COILS,8,1,0,0,0.0,PUMP,0,0,0,0,0.0,INJECTOR,8,1,65,0,0.0,SERVO,1,1,12745,0,0.0,ADD 1,0,1,12684,0,0.0,ADD 2,0,1,12810,0,0.0,ADD 3,0,1,12684,0,0.0,ADD 4,0,1,12777,0,0.0,ADD 5,0,0,0,0,0.0,ADD 6,0,1,12794,0,0.0,ADD 7,0,0,0,0,0.0,EGT2CAN,0,1,12723,0,0.0
1778949385.1023493,0.0,12800,-52.0,0,-,0,0,0,0,0.0,-,0,0,0,0,0.0,ECU,1,1,12810,0,0.0,FAN1,0,0,0,0,0.0,COILS,8,1,0,0,0.0,PUMP,0,0,0,0,0.0,INJECTOR,8,1,71,0,0.0,SERVO,1,1,12788,0,0.0,ADD 1,0,1,12684,0,0.0,ADD 2,0,1,12810,0,0.0,ADD 3,0,1,12684,0,0.0,ADD 4,0,1,12777,0,0.0,ADD 5,0,0,0,0,0.0,ADD 6,0,1,12794,0,0.0,ADD 7,0,0,0,0,0.0,EGT2CAN,0,1,12723,0,0.0
1778949385.163666,0.0,12807,-51.0,0,-,0,0,0,0,0.0,-,0,0,0,0,0.0,ECU,1,1,12788,0,0.0,FAN1,0,0,0,0,0.0,COILS,8,1,0,0,0.0,PUMP,0,0,0,0,0.0,INJECTOR,8,1,65,0,0.0,SERVO,1,1,12756,0,0.0,ADD 1,0,1,12788,0,0.0,ADD 2,0,1,12756,0,0.0,ADD 3,0,1,12745,0,0.0,ADD 4,0,1,12723,0,0.0,ADD 5,0,0,0,0,0.0,ADD 6,0,1,12832,0,0.0,ADD 7,0,0,0,0,0.0,EGT2CAN,0,1,12794,0,0.0
1778949385.2149355,0.0,12776,-52.0,0,-,0,0,0,0,0.0,-,0,0,0,0,0.0,ECU,1,1,12788,0,0.0,FAN1,0,0,0,0,0.0,COILS,8,1,0,0,0.0,PUMP,0,0,0,0,0.0,INJECTOR,8,1,65,0,0.0,SERVO,1,1,12756,0,0.0,ADD 1,0,1,12788,0,0.0,ADD 2,0,1,12756,0,0.0,ADD 3,0,1,12745,0,0.0,ADD 4,0,1,12723,0,0.0,ADD 5,0,0,0,0,0.0,ADD 6,0,1,12832,0,0.0,ADD 7,0,0,0,0,0.0,EGT2CAN,0,1,12794,0,0.0
1778949385.2656326,0.0,12776,-52.0,0,-,0,0,0,0,0.0,-,0,0,0,0,0.0,ECU,1,1,12766,0,0.0,FAN1,0,0,0,0,0.0,COILS,8,1,0,0,0.0,PUMP,0,0,0,0,0.0,INJECTOR,8,1,65,0,0.0,SERVO,1,1,12777,0,0.0,ADD 1,0,1,12810,0,0.0,ADD 2,0,1,12832,0,0.0,ADD 3,0,1,12772,0,0.0,ADD 4,0,1,12739,0,0.0,ADD 5,0,0,0,0,0.0,ADD 6,0,1,12794,0,0.0,ADD 7,0,0,0,0,0.0,EGT2CAN,0,1,12723,0,0.0
1778949385.3233278,0.0,12807,-51.0,0,-,0,0,0,0,0.0,-,0,0,0,0,0.0,ECU,1,1,12739,0,0.0,FAN1,0,0,0,0,0.0,COILS,8,1,0,0,0.0,PUMP,0,0,0,0,0.0,INJECTOR,8,1,54,0,0.0,SERVO,1,1,12750,0,0.0,ADD 1,0,1,12788,0,0.0,ADD 2,0,1,12777,0,0.0,ADD 3,0,1,12684,0,0.0,ADD 4,0,1,12756,0,0.0,ADD 5,0,0,0,0,0.0,ADD 6,0,1,12794,0,0.0,ADD 7,0,0,0,0,0.0,EGT2CAN,0,1,12788,0,0.0
1778949385.373622,0.0,12800,-54.0,0,-,0,0,0,0,0.0,-,0,0,0,0,0.0,ECU,1,1,12739,0,0.0,FAN1,0,0,0,0,0.0,COILS,8,1,0,0,0.0,PUMP,0,0,0,0,0.0,INJECTOR,8,1,54,0,0.0,SERVO,1,1,12750,0,0.0,ADD 1,0,1,12788,0,0.0,ADD 2,0,1,12777,0,0.0,ADD 3,0,1,12684,0,0.0,ADD 4,0,1,12756,0,0.0,ADD 5,0,0,0,0,0.0,ADD 6,0,1,12827,0,0.0,ADD 7,0,0,0,0,0.0,EGT2CAN,0,1,12783,0,0.0
1778949385.4246469,0.0,12800,-54.0,0,-,0,0,0,0,0.0,-,0,0,0,0,0.0,ECU,1,1,12712,0,0.0,FAN1,0,0,0,0,0.0,COILS,8,1,0,0,0.0,PUMP,0,0,0,0,0.0,INJECTOR,8,1,65,0,0.0,SERVO,1,1,12728,0,0.0,ADD 1,0,1,12788,0,0.0,ADD 2,0,1,12761,0,0.0,ADD 3,0,1,12783,0,0.0,ADD 4,0,1,12766,0,0.0,ADD 5,0,0,0,0,0.0,ADD 6,0,1,12794,0,0.0,ADD 7,0,0,0,0,0.0,EGT2CAN,0,1,12794,0,0.0
